Time_s,Time_min,f1_Hz,f3_Hz,f5_Hz,f7_Hz,f9_Hz,f11_Hz,f13_Hz,D3_ppm,D5_ppm,D7_ppm,D9_ppm,D11_ppm,D13_ppm
133.4743,2.224571667,0.1196,-0.2576,-0.4235,-0.2897,-0.2295,-0.2354,-0.2332,0.1575,0.0692,0.0348,0.047,-0.013,0.043
134.3664,2.23944,-0.0416,-0.3579,-0.3028,-0.2971,-0.274,-0.2928,-0.755,0.1722,0.1204,0.0618,0.0492,0.028,-0.0183
135.1904,2.253173333,0.0111,-0.3901,-0.3465,-0.2647,-0.2342,-0.2571,-0.1872,0.1013,0.0432,0.0692,0.0818,0.0465,0.0083
136.0612,2.267686667,0.0459,-0.2837,-0.3423,-0.2604,-0.2651,-0.24,-0.342,0.1385,0.112,0.0613,0.0916,0.0848,0.0808
136.942,2.282366667,0.0753,-0.4064,-0.2267,-0.3309,-0.236,-0.1866,-0.2324,0.1294,0.0764,0.0862,0.0802,-0.0224,-0.1819
137.808,2.2968,0.0982,-0.4251,-0.3201,-0.3071,-0.2575,-0.1948,0.2427,0.1239,0.1244,0.0701,0.0466,-0.0067,0.1261
138.6702,2.31117,-0.0871,-0.3713,-0.3105,-0.3081,-0.2847,-0.1415,-0.6542,0.1291,0.0937,0.0913,0.0322,-0.0138,-0.0291
139.5567,2.325945,-0.0157,-0.3707,-0.4096,-0.3596,-0.2284,-0.2816,-0.2621,0.1267,0.0842,0.0861,0.0499,0.0875,-0.0918
140.4534,2.34089,-0.0001,-0.3883,-0.4154,-0.358,-0.2813,-0.3552,-0.5163,0.1427,0.1173,0.0431,0.0597,0.0259,0.1327
141.2879,2.354798333,0.0298,-0.4179,-0.1821,-0.309,-0.2768,-0.355,-0.4919,0.1366,0.0678,0.0695,0.0665,0.1128,0.0625
142.0497,2.367495,0.1739,-0.3794,-0.3076,-0.3083,-0.2963,-0.1365,-0.5211,0.1221,0.1092,0.1052,0.0426,0.0062,-0.0198
